0.000000,0.000000
0.000000,0.000000
0.099997,0.000588
0.249893,0.005946
0.349660,0.012744
0.449206,0.022235
0.598438,0.035647
0.697382,0.022152
0.828127,-0.048875
0.890926,-0.126301
0.926726,-0.219343
0.953040,-0.366924
0.964803,-0.466226
0.981995,-0.615236
0.994561,-0.764319
0.969578,-0.860829
0.880021,-0.979622
0.794112,-1.030200
0.646787,-1.050872
0.447530,-1.061717
0.399820,-1.076675
0.276709,-1.160195
0.221908,-1.243474
0.194347,-1.339313
0.192992,-1.439099
0.215730,-1.536296
0.260404,-1.625574
0.362550,-1.734517
0.443841,-1.792693
0.572942,-1.868977
0.661964,-1.914518
0.752532,-1.956908
0.850356,-1.976112
0.949327,-1.964146
1.039757,-1.922183
1.112793,-1.854329
1.161287,-1.767227
1.184229,-1.722801
1.240720,-1.640660
1.365512,-1.559672
1.463540,-1.541535
1.654897,-1.592457
1.788871,-1.659834
1.930445,-1.708637
2.029597,-1.720852
2.079581,-1.719565
2.177732,-1.701234
2.311444,-1.634658
2.384876,-1.567014
