0.000000,0.000000,
0.000000,0.000000,
0.050000,0.000000,
0.200000,0.000000,
0.296937,-0.023273,
0.381938,-0.075361,
0.495043,-0.238631,
0.523547,-0.279711,
0.679010,-0.400591,
0.727223,-0.413840,
0.875835,-0.407005,
0.966088,-0.364664,
1.077550,-0.264532,
1.151781,-0.197552,
1.278501,-0.117925,
1.372638,-0.084490,
1.568653,-0.103441,
1.652712,-0.157037,
1.737995,-0.278935,
1.759535,-0.376272,
1.807924,-0.517467,
1.872016,-0.593825,
1.956568,-0.646640,
2.003987,-0.662498,
2.102367,-0.680370,
2.240581,-0.735406,
2.312036,-0.804923,
2.370852,-0.941572,
2.413343,-1.031873,
2.977690,-0.969205,
2.996242,-0.821598,
2.986842,-0.772489,
2.945760,-0.681656,
2.837247,-0.579886,
2.743969,-0.544706,
2.594458,-0.535287,
2.395709,-0.515666,
2.347319,-0.503083,
2.210605,-0.442345,
2.065213,-0.409924,
1.966800,-0.425843,
1.878124,-0.471393,
1.781878,-0.584835,
1.735689,-0.726840,
1.717848,-0.925855,
1.716757,-1.075842,
1.711360,-1.225352,
1.674939,-1.318153,
1.611624,-1.395157,
1.527613,-1.448827,
1.381136,-1.474845,
1.238814,-1.431528,
1.161809,-1.368213,
1.091802,-1.236945,
1.004616,-1.057657,
0.891688,-0.960559,
0.698268,-0.914640,
0.548420,-0.917412,
0.498614,-0.921813,
0.301996,-0.955385,
0.216031,-1.005866,
0.126339,-1.124557,
0.100308,-1.271031,
0.136167,-1.416266,
0.164566,-1.512149,
0.171149,-1.661270,
0.095355,-1.845021,
0.083901,-1.993348,
0.141035,-2.130708,
0.211631,-2.201097,
0.349160,-2.257826,
0.543618,-2.226733,
0.665094,-2.139270,
0.802473,-2.081101,
0.951053,-2.088587,
1.080041,-2.162712,
1.170877,-2.281689,
1.278450,-2.385288,
1.370099,-2.424517,
1.519367,-2.434843,
1.668409,-2.448861,
1.761390,-2.485122,
1.870344,-2.586420,
1.993022,-2.744316,
2.102420,-2.846583,
2.280444,-2.935486,
2.329093,-2.947033,
2.478233,-2.962410,
2.678121,-2.968510,
2.728119,-2.968956,
2.978118,-2.968719,
3.128115,-2.967905,
3.278112,-2.966902,
3.477592,-2.956477,
3.622471,-2.918642,
3.792231,-2.814858,
3.885549,-2.698444,
3.918825,-2.553445,
3.882645,-2.409142,
3.785055,-2.296805,
3.696315,-2.251335,
3.453752,-2.192815,
3.304637,-2.181869,
3.208698,-2.208962,
3.043218,-2.388102,
3.024849,-2.535874,
3.092723,-2.722018,
3.210003,-2.882909,
3.241917,-3.028391,
3.214186,-3.175446,
3.198981,-3.373549,
3.237274,-3.518213,
3.239301,-3.568172,
3.171376,-3.753015,
3.054663,-3.845266,
2.908790,-3.874476,
2.723946,-3.806551,
2.614330,-3.642951,
2.608299,-3.494304,
2.642685,-3.400730,
2.662562,-3.303026,
2.634447,-3.156937,
2.543074,-3.039536,
2.456398,-2.990284,
2.413120,-2.965245,
